9220	1a20	Á
92a1	1aa1	É
92a2	1aa2	Ó
9223	1a23	Ú
92a4	1aa4	Ü
9225	1a25	ü
9226	1a26	‘
92a7	1aa7	¡
92a8	1aa8	*
9229	1a29	’
922a	1a2a	—
92ab	1aab	©
922c	1a2c	℠
92ad	1a2d	•
92ae	1aae	“
922f	1a2f	”
92b0	1ab0	À
9231	1a31	Â
9232	1a32	Ç
92b3	1ab3	È
9234	1a34	Ê
92b5	1ab5	Ë
92b6	1ab6	ë
9237	1a37	Î
9238	1a38	Ï
92b9	1ab9	ï
92ba	1aba	Ô
923b	1a3b	Ù
92bc	1abc	ù
923d	1a3d	Û
923e	1a3e	«
92bf	1abf	»
1320	9b20	Ã
13a1	9ba1	ã
13a2	9ba2	Í
1323	9b23	Ì
13a4	9ba4	ì
1325	9b25	Ò
1326	9b26	ò
13a7	9ba7	Õ
13a8	9ba8	õ
1329	9b29	{
132a	9b2a	}
13ab	9bab	\
132c	9b2c	^
13ad	9bad	_
13ae	9bae	¦
132f	9b2f	~
13b0	9bb0	Ä
1331	9b31	ä
1332	9b32	Ö
13b3	9bb3	ö
1334	9b34	ß
13b5	9bb5	¥
13b6	9bb6	¤
1337	9b37	|
1338	9b38	Å
13b9	9bb9	å
13ba	9bba	Ø
133b	9b3b	ø
13bc	9bbc	┌
133d	9b3d	┐
133e	9b3e	└
13bf	9bbf	┘
